regular,corp
answer me.,I look forward to hearing from you soon.
Answer me already.,I’m circling back on the below conversation.
answer me now.,I hope to hear from you soon.
answer me now.,Your prompt response would be appreciated.
Answer me!,I would appreciate a reply at your earliest convenience.
answer my emails.,If There’s a better way to get in contact with you please let me know as I am hoping to have this resolved as soon as possible.
Answer My Emails.,"I’m eager to get this resolved as soon as possible, so if there is otherwise a better way to reach you, please let me know."
Answer my emails.,"If there is a better way to get in contact with you, please let me know as I am hoping to have this resolved as soon as possible."
Answer my messages!,If there is a better way to get in contact with you please let me know. 
Any updates on this?,Just checking in
Are promotions based on performance or politics?,Is there an opportunity for growth within the company and if so what is the main metric for promotion?
Are you going to get back to me?,Please advise
Are you gonna do your job or am I gonna have to do it for you?,"If you require my support to complete this task, please let me know"
Are you still texting bitches? yes or no?,I Just Wanted To Follow Up On This
Can I work on something more exiting?,"A professional goal of mine is to gain exposure to different projects and areas of business, can you share any opportunities for me to expand my scope?"
Can you answer all of the questions I asked and not just choose what you want to answer?,Can you share some clarity on the issues that have already been inquired?
Can you answer all of the questions I asked and not just pick and choose one.,Are you able to provide some clarity around the other questions previously asked?
Can you do your job and answer my emails?,With deadlines approaching it's imperative that I recive this information in order to proceed.
Can you do your job so I don't have to?,Please let me know when your deliverables have been completed
can you even fucking read.,Per my last email
Can you hurry up?,Any updates on this?
can you rephrase your question so you won't look stupid?,Would you mind just repeating the question?
Can you stop following up every 2 seconds? I'm working on it!,"I am actively working on resolving this, and require uninterrupted time to complete it."
Can you treat me like a human? Your'e so disrespectful.,"I understand your frustration with the situation, and I'll be happy to continue this conversation if you're able to do so in a respectful manner."
"Check your inbox, I already sent it to you. ","I previously sent you an email regarding that, but please let me know if something went wrong in transit. "
could you answer me?,I’m eagerly awaiting your response.
Couldn't you say that before?,Thank you for the clarification
Did you do what I asked?,I’m following up on the below email
Did you even read my email?,I’ll provide an update when I have one
Did you even read my email?,Reattaching my email address to provide additional clarity.
Did you just take credit for my work?,It is great to see my ideas being exposed to a wider audience and I would have appreciated the opportunity to have been included in the delivery.
didn't understand you.,"I didn’t quite catch that, could you clarify what were you asking about?"
Do it by tommorrow.,I need your input on the below thread by tomorrow
Do the fucking task.,Did you get a chance to look at the the task we talked about?
Do you expect employees to be available 24/7?,What is the expectation for being available outside of working hours?
Do you have a culture that expects employees to put in over 40 hours each week?,Is it common within the company for employees to exceed 40 working hours per week?
Do your job.,It is my understanding that you are the appropriate person to contact in regards to this but if there is someone better equipped for this please let me know
Do your job yourself.,"Sorry, I have already committed to something else. I hope you understand"
Does taking on all this extra work come with extra pay?,With my role expanding is there a plan to review my title and compensation to better reflect these additional responsibilities?
Does the company actually care about the employees?,Are there resources and boundaries in place to support the physical and mental health of employees?
Don't bother me until thursday.,I will be in touch with you by the end of the week.
Don't expect me to do that.,I understand your expectations and promise to do my absolute best
Don't interrupt me. ,"Thank you for you input, but please wait until I am finished sharing my thoughts before proceeding. "
Don't nag me about this.,I will keep you posted.
"Don't try to do my job, stay in your lane.",Thank you for your input. I’ll keep that in mind as I move forward with this project!
don't undestand you.,"I’m sorry, I can’t hear you very well, could you speak a little louder/ speak up, please?"
that was so easy. ,it was very straightforward
"Excuse me, but I’m pretty sure I understood correctly.",Do let me know if I misunderstood.
"Fuck no, I'm not rescheduling my plans to do more work.",It isn’t possible for me to rearrange what I have planned.
Fuck off.,Let’s circle back later.
Fuck you.,Have a nice day!
FYI.,I wanted to bring to your attention
FYI.,In case it is helpful to know this
