regular,corp
Answer me already.,Circling back on the below conversation.
Answer me now.,I hope to hear from you soon.
Answer me.,Looking forward to hearing from you soon.
Answer my emails.,"Please let me know if there’s a better way to get in contact with you, as I am hoping to have this resolved as soon as possible."
Answer my messages!,Please let me know If there is a better way to get in contact with you please.
Any updates on this?,Just checking in.
Are promotions based on performance or politics?,Would you explain what are opportunities for growth within the company and what is the main metric for promotion?
Are you going to get back to me?,Please advise when your'e free.
Are you gonna do your job or am I gonna have to do it for you?,Please raise a flag if you require my support to complete this task.
Are you okay with my idea? I can't tell.,Is this what you had in mind?
Are you still texting bitches? yes or no?,Just wanted to follow up on this.
Are you stupid or what?,Let me clarify.
Can I work on something more exiting?,"A professional goal of mine is to gain exposure to different projects and areas of business, can you share any opportunities for me to expand my scope?"
Can you answer all of the questions I asked and not just choose what you want to answer?,Can you share some clarity on the issues that have already been inquired?
Can you answer all of the questions I asked and not just pick and choose one?,Are you able to provide some clarity around the other questions previously asked?
Can you do your job and answer my emails?,With deadlines approaching it's imperative that I recive this information in order to proceed.
Can you do your job so I don't have to?,Please let me know when your deliverables have been completed.
Can you hurry up?,Any updates on this?
Can you rephrase your question so you won't look stupid?,Maybe I didn't get your point exactly - could you explain again what you wanted to ask?
Can you stop following up every 2 seconds? I'm working on it!,"Currently I am actively working on resolving this, and require uninterrupted time to complete it."
Can you treat me like a human? your'e so disrespectful.,"Your frustration with the situation is well understood, and I'll be happy to continue this conversation if you're able to do so in a respectful manner."
"Check your inbox, I already sent it to you.","I previously sent you an email regarding that, but please let me know if something went wrong in transit."
Could you answer me?,Eagerly awaiting your response.
Couldn't you say that before?,Thank you for the clarification.
Did you do what I asked?,Following up on the below email.
Did you even read my email?,Reattaching my email address to provide additional clarity.
Did you just take credit for my work?,"Great to see my ideas being exposed to a wider audience, but I would have appreciated the opportunity to have been included in the delivery."
Didn't understand you.,"I didn’t quite catch that, could you clarify what were you asking about?"
Do it by tommorrow.,Your input on the below thread is required by tomorrow.
Do it now.,Could you take a look at your earliest convenience?
Do the fucking task.,Did you get a chance to look at the the task we talked about?
Do you expect employees to be available 24/7?,What is the expectation for being available outside of working hours?
Do you have a culture that expects employees to put in over 40 hours each week?,How common it is within the company for employees to exceed 40 working hours per week?
Do your job yourself.,"Sorry, I have already committed to something else. I hope you understand."
Do your job.,It is my understanding that you are the appropriate person to contact in regards to this but if there is someone better equipped for this please let me know.
Does taking on all this extra work come with extra pay?,With my role expanding is there a plan to review my title and compensation to better reflect these additional responsibilities?
Does the company actually care about the employees?,Are there resources and boundaries in place to support the physical and mental health of employees?
"Don't ask me again about meeting up, I'm not into it. ",Now isn’t a good time for me. I’ll let you know if my schedule frees up.
Don't bother me until thursday.,let's be in touch with you by the end of the week.
Don't expect me to do that.,Your expectations are undersood and I promise to do my absolute best.
Don't interrupt me.,"Thank you for you input, but please wait until I am finished sharing my thoughts before proceeding."
Don't nag us about this.,We will make sure to keep you posted.
"Don't try to do my job, stay in your lane.",Thank you for your input. I’ll keep that in mind as I move forward with this project!
Don't undestand you.,"Sorry, I can’t hear you very well, could you speak a little louder/ speak up, please?"
"Even if I had time, and I don't, I wouldn't do it. ","Bandwidth is low, so I won’t be able to make it work."
"Excuse me, but i’m pretty sure I understood correctly.",Do let me know if I misunderstood.
"Forget about it, I'm not gonna do it. ",Ask me in a month.
"Fuck no, I'm not rescheduling my plans to do more work.",At the moment It isn’t possible for me to rearrange what I have planned.
Fuck off.,Warm regards.
Fuck you.,Have a nice day!
FYI.,In case it is helpful to know this.
Get off.,"With all due respect, I feel this conversation isn’t going anywhere. And think we should agree to disagree."
Google that for yourself.,The internet is a great resource for these type of questions and I am available to clarify elements that you are not able to find online.
Got it?,"Should you have questions, please feel free to contact me."
Hahaha I'm not doing that.,"Regrettably, i’m not able to."
Hahaha no way I'm saying yes.,Let me think about it and i’ll get back to you.
Hahahahaha no I'm not working on saturdays.,"No thank you, I have other plans for the weekend."
Have you lost your god damn mind?,"To ensure our due diligence, let's walk through this plan and all possible outcomes."
He works for me.,We work together.
Help me!,Any help on this matter will be greatly appreciated.
Hire more people or this isn't going to get done.,The team is already at capacity and will require additional resources in order to get tihs completed.
Holy shit you’re stupid.,There's not a single professional in my industry who would suggest that.
How long do I have to work here before you stop micromanaging all my work?,I'm curious as to when you might feel comfortable enough to allow me to work independently on this.
How many times do I have to follow up with you before I'll get a resoponse?,Reaching our to get a better understanding of when I can expect a response from you on this matter.
How much does this role pay?,Can you share what the overall compensation looks like for this role?
How the fuck was I supposed to know that if it was decided before I joined the project?,"I wasn't involved with this part of the project, but please tell me the correct way to handle this situation."
How was I supposed to know that if you didn't tell me?,"Thank you for sharing this information to me, now it all makes sense."
How you could have fucked this up so badly?,Please advise.
Hurry up!,"Seems like you need some help with that, would you like me to assist you?"
I already have too much work for a single person. ,At the moment I am not taking on new things.
I already made plans that I'd much rather go to instead of this. ,"Oh, I wish there were two of me!"
I already told you this.,As indicated prior.
I am burning out with this workload and your lack of support.,My productivity is being impacted by the overwhelming workload I am currently assigned. Is there any support you or the team can offer?
I am making less than I should be in this role.,"After analyzing the current market rate for comparable roles to mine, I understand that I am making $2000 less than the going rate."
I am not paid enough to do this.,This falls out of my job description but if the opportunity for a role expansion becomes available I would be happy to discuss reworking my contract to better align with these new responsibilities.
I am overworked. ,I’m really maxed out.
