,regular,corp_5
0,I don't have the time.,Perhaps next season when things clear up.
0,I don't have the time.,Circle back to me in a few weeks.
0,I don't have the time.,Ask me in a month.
0,I don't have the time.,"I'm really spread thin these days, i just can't take it on right now."
0,I don't have the time.,I'm really maxed out.
1,I told you so.,"As per my prediction, this outcome does not come as a surprise."
2,No.,"No thank you, but it sounds lovely."
2,No.,"Regrettably, i'm not able to."
2,No.,I wish i were able to.
2,No.,"Thanks for thinking of me, but i can't."
2,No.,I wish i could make it work.
3,That meeting sounds like a waste of my time.,I'm unable to add value to this meeting but i would be happy to review the minutes.
4,That sounds like a horrible idea.,Are we confident that this is the best solution or are we still exploring alternatives?.
5,You are overcomplicating this.,Being mindful of timelines. let?s concentrate on the initial scope.
