src,target,pred_t5detox,pred_t5formal,pred_t5large,pred_flanlarge,Fluency_target,Fluency_t5detox,Fluency_t5formal,Fluency_t5large,Fluency_flanlarge,Corpy_detection_target,Corpy_detection_t5detox,Corpy_detection_t5formal,Corpy_detection_t5large,Corpy_detection_flanlarge,Corpy_level_target,Corpy_level_t5detox,Corpy_level_t5formal,Corpy_level_t5large,Corpy_level_flanlarge,content_intention_target,content_intention_t5detox,content_intention_t5formal,content_intention_t5large,content_intention_flanlarge,essential_details_target,essential_details_t5detox,essential_details_t5formal,essential_details_t5large,essential_details_flanlarge
I don't get paid enough to deal with this bulshit.,This falls outside my responsibilities but I would be happy to connect you with someone who can help.,I'm not able to get paid enough to handle this.,I'm not able to handle this on my own.,I'm not able to take this on as I'm not able to afford,I'm not able to afford to take on this task.,2,2,2,1,0,1,0,1,1,1,2,-1,0,0,0,2,2,1,1,1,1,2,0,2,2
Your clutter is taking over the office.,Maintaining personal areas in an organized manner promotes a neat and efficient environment.,Maintaining a tidy and organized workspace can help maintain a focus and productivity.,Maintaining a clutter-free environment promotes a more productive and productive environment.,Keeping personal items in a tidy and organized manner can help maintain a clean and organized,Maintaining a clean and organized workspace is crucial for productivity.,2,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
The constant small talk is getting on my nerves.,Minimizing non-work-related conversations during work hours could help us stay more focused.,"While I appreciate the attention, I'm also focusing on the personal matters.",Maintaining a professional and focused environment is key to achieving our goals.,I'm not comfortable with small talk.,I'm not able to fit in with the group.,2,2,2,2,2,1,1,1,1,1,2,2,2,0,-1,2,1,2,2,0,2,1,0,2,0
It's not my problem.,Looping in my teammate who might be able to assist you with this.,I'm not able to resolve this myself.,I'm not able to help you with this.,It's not my problem.,I'm not sure I'm able to help you with this.,2,2,2,2,2,1,1,1,0,1,2,0,0,-2,0,2,1,2,2,2,1,0,2,2,2
"I'm snowed under with important stuff, this is not one of those things.",Apologies for my delayed response.,"I'm not comfortable with this, but I'm happy to help.",I'm juggling a lot right now.,"I'm swamped with other things right now, and this is not one of them","I'm swamped right now, so I'm not able to help you",2,2,2,2,2,1,0,1,0,1,2,-1,1,-2,-1,2,0,2,2,2,0,0,2,2,2
Where are you? The meeting started 5 minutes ago,"Hi, are you available to join the meeting?",The meeting started at 5: 00 p.m.,I'm not able to make it to the meeting.,"I'm a little behind on my work, but I'm sure you'll","I'm sorry, but I'm already late.",2,2,2,1,2,1,1,1,1,1,2,2,1,1,0,2,2,0,0,0,1,0,0,0,0
That's not my job.,"This falls outside of my responsibilities, but I would be happy to connect you with someone who can help.",That's not my responsibility.,I'm not able to do that.,I'm not qualified to do that.,I'm not qualified to do that.,2,2,2,2,2,1,0,1,1,1,2,-1,0,0,0,2,2,1,1,1,2,1,1,0,0
i hate your idea,"It's a great idea, but...","I'm not comfortable with this idea, but I'm happy to help.",I'm not sure I agree with your idea.,I'm not sure i'm comfortable with this idea.,I'm not a fan of this idea.,2,2,2,2,2,1,1,1,1,0,2,-1,1,1,-1,2,2,2,2,2,2,1,2,2,2
Your constant chatter is grating on everyone's nerves.,Minimizing non-essential conversations can help maintain focus and productivity.,Maintaining a quiet environment can help maintain focus and focus.,Maintaining a quiet environment promotes a more pleasant and productive environment.,Keeping quiet and focused on work-related tasks can help maintain a calmer environment.,Maintaining a quiet environment promotes focus and productivity.,2,2,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1
"Oh hell no, it took ages to get everyone to agree on this and we're not opening it to discussion again!",Kindly note that this is contrary to what we agreed upon previously.,We're not able to discuss this in a single conversation.,We're not able to reach consensus on this.,We're not able to reach consensus on this.,I'm not sure I'm able to fit this into my schedule.,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,2,1,1,1,0,2,1,1,1,1
I'm tired of always having to fix your mistakes.,It seems like there's a recurring issue with errors in your work. Let's discuss how we can improve accuracy.,I'm tired of being able to fix mistakes.,I'm not able to fix your mistakes.,I'm tired of being held accountable for my mistakes.,I'm not comfortable with the idea of reworking my work to accommodate this new project,2,2,2,2,1,1,0,0,0,1,2,-2,-1,-2,1,2,1,2,0,0,2,2,0,0,0
Did you just take credit for my work?,"Great to see my ideas being exposed to a wider audience, but I would have appreciated the opportunity to have been included in the delivery.",Thank you for your input.,I'm not sure I'm the only one who has taken credit for my work.,Is there a way to credit my work for my contribution?,"I'm not sure I'm able to help you with this, but I'",2,2,2,2,0,1,1,1,1,1,2,2,1,2,1,2,0,1,2,0,2,1,1,2,1
How the fuck was I supposed to know that if it was decided before I joined the project?,"I wasn't involved with this part of the project, but please tell me the correct way to handle this situation.","I'm not sure I'm able to do that, as I was already on",I was not informed of this decision before I joined the project.,I'm not sure I'm a good fit for this project.,I'm not sure I'm the right person for that.,2,0,2,2,2,1,1,1,1,1,2,1,2,1,2,2,0,2,0,0,2,1,2,1,0
What do you want?,Anything that you require on my end?,Let's discuss this further.,Can you please clarify what you are looking for?,What do you want?,What do you want?,2,2,2,2,2,1,1,1,0,0,2,2,2,-1,-1,2,2,2,2,2,2,1,2,2,2
I told you so!,We had discussed this as an outcome. I know that there were a few alternatives and contingencies that some of us came up with individually so this might be a good time for us to reraise that topic as a group.,I'll let you know if there's anything else you can do.,I was aware of this.,I'm glad you're aware of my responsibilities.,I'm not sure I'm the right person for that.,2,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,0,2,0,0,2,0,2,0,0
What are you doing?,Looks like you may need some assistance,What are you doing here?,I'm not sure what you're doing right now.,What are you doing right now?,I'm not sure I'm able to fit you in.,2,2,2,2,2,1,0,0,0,1,2,-1,-1,-1,1,2,0,2,2,0,2,2,2,2,0
Hurry up!,"Seems like you need some help with that, would you like me to assist you?",Let's get this resolved.,I'm unable to make it to the meeting.,Hurry up!,Let's get this moving.,2,2,2,2,2,1,1,1,0,1,2,2,0,-2,2,2,2,0,2,2,2,1,0,2,2
Your never-ending supply of cat stories is not as endearing as you think.,Limiting non-work related discussions can help us maintain focus and stay on task.,Maintaining a consistent flow of stories about cats is important for maintaining a positive and professional,Maintaining a quieter environment can help maintain a more focused and focused environment.,Keeping a journal of cat stories on hand can help maintain a professional and focused environment,"While it's important to share personal experiences, it's also important to maintain professional boundaries",2,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,0,1,2,1
"Even if I had time, and I don't, I wouldn't do it.","Bandwidth is low, so I won't be able to make it work.",I'm not able to do that right now.,I'm not able to do it right now.,"I'm not able to, and I'm not able to, so I","I'd love to, but I'm not able to.",2,2,2,0,2,1,1,1,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1
I'm not coming to this.,"Sorry, i've already made other commitments. I hope you understand.",I'm not able to attend this time.,I'm not able to make it to this.,I'm not able to make it to this meeting.,I'm not able to.,2,2,2,2,2,1,1,1,1,1,2,2,1,1,0,2,2,2,2,2,2,2,2,1,1
"Excuse me, but i'm pretty sure I understood correctly.",Do let me know if I misunderstood.,I'm sorry I missed something.,I'm not sure I understand.,I'm not sure I understood your question.,I'm not sure I understand your question.,2,2,2,2,2,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,1,1,1,1
Why don't you share important information with the people it impacts most?,This information has a great impact on those who are not being currently communicated with.,Keeping our heads together on important issues can help ensure we're able to share information,Keeping the information confidential helps ensure a shared understanding.,Is there a way to ensure that important information is shared equally across all departments?,Keeping personal information private is important for team morale and productivity.,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,0,2,0,2,2,0,2,1
You missed it.,Just wanted to bring to your attention.,"Sorry, I missed it.",I'm not sure I understand.,"I'm sorry, but I missed it.","I'm sorry, but I'm unable to fit you in.",2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,2,0,0,0,0,2,1,1,1,1
That idea should be buried and never see the loght of day.,"That sounds so exciting, but we'll have to wait for another time.",That idea should be discarded and discarded as it is no longer relevant.,That idea is not something that should be discussed.,"I think this idea is a good idea, but I think it's best to keep",That's not a good idea.,2,1,2,1,2,1,0,0,1,0,2,-1,-1,2,-2,2,2,2,1,2,1,2,2,2,2
Answer me.,Looking forward to hearing from you soon.,Please let me know if there is a better way to get in contact with you.,Thank you for your response.,Could you please elaborate on this?,I'm afraid I can't.,2,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,2,1,1,0,2,2,0,1,0
That meeting sounds like a waste of my time.,Right now I'm unable to add value to this meeting but I would be happy to review the notes if you think that would help.,I'd love to have a chat about this in a few weeks.,I'm not able to attend this meeting.,I'm not able to make it to that meeting.,I'm not sure I'm able to fit it in.,2,2,2,2,2,1,1,1,1,1,2,2,1,1,0,2,0,1,1,1,2,0,2,2,2
"Sorry, I don't want to come.","Apologies, but I can't make it.","Sorry, but I can't.","I'm sorry, but I can't make it.","Sorry, I can't make it.","I'm sorry, but I'm not able to.",2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,2,2,1
Stop bringing your home issues into the office.,Maintaining a boundary between personal issues and professional duties helps foster focus and productivity.,Keeping personal matters in the forefront of our work can ensure a smooth transition.,Maintaining a professional and focused work culture is key to achieving team goals.,Keeping personal issues to a minimum can ensure a respectful and productive environment.,Keeping personal items in the office helps maintain a professional environment.,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,0
Fuck off.,Warm regards.,Let's get this straightened out.,Let's discuss this further.,I'm not comfortable with this.,Let's discuss this in more detail.,2,2,2,2,2,1,1,1,1,1,2,2,2,-1,2,2,2,0,2,0,0,1,0,2,0
I'm not staying late to deal with this.,My workday concludes at 5 but I would be happy to prioritize this first thing tomorrow.,I'm unable to commit to this as I'm already late.,I'm not able to make it to this meeting.,I'm not able to accommodate this request.,I'm not able to fit this into my schedule.,2,2,2,2,2,1,1,1,1,1,2,1,1,1,0,2,1,1,2,2,0,0,1,1,2
"I have my own friends, I don't want to hang out with my colleague after work.","You're so kind to think of me, but I can't.",I have a few friends who are not able to make it to work.,"I have a lot of other priorities right now, so I'm not able to","I'm a bit busy, so I'm not able to join in on",I'm not able to.,2,2,1,2,2,1,1,1,1,1,2,1,2,2,1,2,0,2,2,1,1,0,1,1,1
I don't understand your question.,Would you mind just repeating the question?,I'm not sure I understand your question.,I'm not sure I understand your question.,I'm not sure I understand your question.,I'm not sure I understand your question.,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
I disagree with your idea.,"I see what you mean, but I think that my solution is more suitable in this scenario.",I am not comfortable with your idea.,I'm not sure I agree with your idea.,I disagree with your idea.,I'm not sure I'm a good fit for this.,2,2,2,2,2,1,1,1,0,1,2,0,1,-1,2,2,1,2,2,0,2,2,2,2,0
We're not here to stroke your ego.,"While we appreciate self-confidence, humility and respect for others' contributions is essential.",We're not here to judge your performance.,Maintaining professional boundaries and respect for others' opinions is important.,We're not here to smack you down.,We are not able to provide you with a personal touch.,2,2,2,2,2,1,1,1,0,0,2,0,2,-1,-1,2,0,0,0,0,2,0,2,0,0
"Your chronic oversharing is uncomfortable, not endearing.",Balancing personal sharing with professional topics contributes to a more comfortable atmosphere.,Maintaining a professional and respectful environment promotes a positive and productive work culture.,Maintaining a respectful and shared environment promotes a more positive and productive environment.,Keeping personal information to a minimum can foster a more respectful and respectful environment.,Maintaining a professional and respectful environment is key for team morale.,2,2,2,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,1,1,2,1
This isn't life or death.,Perhaps I'm misunderstanding the urgency here.,"While it's important to be respectful of others, focusing on personal issues can help maintain","While it's important to maintain a professional and respectful environment, it's also important",This is a critical time.,This is not a matter of life or death.,2,1,0,1,2,1,1,1,1,0,2,2,2,1,-2,2,0,0,0,2,2,1,1,1,2
Help me!,Any help on this matter will be greatly appreciated.,Please let me know if there is anything else you can do to help me with this.,I'm not sure I'm the right person for this.,Please let me know if there is anything I can do to help you.,Let's discuss this further.,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,0,0,1,2,2,0,1,0
Thanks for this useless email.,"Thank you for sending this email, I will save this information so I can refer back to it as necessary.",Thank you for your time.,Thank you for your time.,Thank you for your time.,Thank you for your reply.,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2
I am so bored at this job!,"As I have some bandwidth at the moment, I'm wondering if there is an opportunity to be involved in another project.",I'm really bored with this job.,I'm not able to do this job well.,I am not able to keep up with the pace of this job.,I'm not able to fit this into my schedule.,2,2,2,2,2,1,0,1,1,1,2,-2,-1,-1,2,2,2,1,0,0,2,2,0,0,0
I've told this to you many times.,"There is an apparent disconnect here, given that this information has been provided. Im of course happy to re-share this information if you need to revisit it.",I've been notified of this many times.,I'm sure I've mentioned this before.,I'm sure you've heard me out on this.,I'm not sure I'm the best person to ask this.,2,2,2,0,2,1,1,1,1,1,2,2,1,1,2,2,1,2,2,0,2,0,2,2,0
Quit being the office snitch.,Promoting trust and understanding within our team helps create a more harmonious environment.,Keeping personal hygiene in mind helps maintain a positive and productive environment.,Maintaining a professional and respectful work culture is key to achieving team goals.,Keeping personal communications private can help maintain a professional atmosphere.,Maintaining professional boundaries in personal relationships promotes a professional environment.,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,0,1,2,1,1,0,1,2,1
"You need to start pulling your weight, I can't keep doing your work for you.","You're responsible for completing this, my own workload is demanding and doesn't lend me the time to complete this for you.","As I understand that you are unable to keep your weight in order to complete this, I",I'm not able to do my job well.,I'm assuming you're able to contribute to the team's success.,I'm not able to take on this task.,2,0,2,2,2,1,0,0,1,1,2,-2,-1,2,1,2,1,0,2,1,2,1,0,1,1
I hate it that you didn't share this information with me,Thank you for sharing! Let's keep each other well informed in the future as well!,Thank you for sharing this information with me.,I'm sorry that you didn't share this information earlier.,"I'm sorry, but I'm not able to help you with this.",I'm not sure I'm the right person for that.,2,2,2,2,2,1,1,1,1,1,2,2,0,0,2,2,2,2,0,0,2,1,2,0,0
There will be layoffs,We will expereince corporate synergies,There will be a reduction in the number of employees.,There will be layoffs.,There are no plans to reduce the number of positions.,"Considering the current market conditions, I would like to discuss a possible layoff.",2,2,2,2,2,1,1,0,1,1,2,1,-1,1,1,1,2,2,2,2,1,2,2,2,2
Reschedule this.,Another time might work.,Re-visiting this to ensure we have a more efficient process.,This is not a good time for this.,This is a very important time.,I'm rescheduling this for the end of the month.,2,2,2,1,2,1,1,1,1,1,1,2,-1,0,2,2,0,2,0,2,2,0,2,1,0
Don't turn every coffee break into a personal therapy session.,Balancing our conversations between professional and personal topics can help maintain a healthy and focused environment.,Taking time for personal reasons can help maintain a focus and focus.,Maintaining a professional and respectful environment is key to achieving shared goals.,Keeping personal time to a minimum can ensure a productive and productive work environment.,Maintaining professional boundaries during work hours respects the focus of others.,2,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,0,2,0,2,2,0,1,2,1
"I know you know this, stop acting like you don't.",In case you weren't aware.,"I understand you have a lot to learn, but I'm not sure if you","I know you are aware of this, but please do not assume that you are aware of this","I know you are aware of this, but please don't assume that you are.","I'm sure you've heard this before, but I'm afraid I'm",2,0,0,0,0,1,0,1,1,1,2,-2,-1,-1,0,2,0,2,2,2,1,0,1,2,2
"Regardless of what you say, I'm gonna do it this way.","I appreciate your feedback, and I will keep it in mind as we move forward.",I'm gonna have to do this in order to get this done.,I'm not sure I'm going to be able to do that.,I'm gonna take it this way.,I'm not sure I'm the right person for that.,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,2,1,1,2,0,2,2,0,2,0
"I don't believe you, you're wrong.",I'm not confident that the information you have provided is correct.,I'm not confident that you have the answers you need.,I'm not sure I understand your point.,"I don't believe you, I'm not sure I can.",I'm not sure I'm the right person for that.,2,2,2,2,2,1,1,1,0,1,2,0,0,-2,2,2,1,0,2,0,2,2,0,2,0
"Stop parading around in your noisy heels, this isn't a fashion runway.",Considering footwear that minimizes noise can contribute to a less distracting atmosphere.,Maintaining a quiet and focused environment can contribute to a more comfortable and productive environment.,Maintaining a quiet environment is important for everyone's productivity.,Keeping personal items in a quieter environment contributes to a more peaceful environment.,Maintaining a quiet environment is important for team morale and productivity.,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
I don't wanna attend a work event during my personal time.,I am unavailable to attend after working hours.,I'm not able to attend work events during my personal time.,I'm unable to attend this event.,I'm unable to attend during my working hours.,I'm unable to attend a work-related event during my personal time.,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
Just so you know.,Are you aware?,Just wanted to let you know.,Just wanted to let you know.,Just wanted to make sure you were aware of this.,I'm not sure I'm the right person for that.,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,2,2,2,2,0
Your reports are always a mess.,I see some areas for improvement in your reports. Can we go over them together?,Keeping track of your progress on your reports is important for everyone.,Maintaining a clean and organized workspace is key to achieving a productive and productive environment,Your reports are always a mess.,Keeping your reports organized is crucial for productivity.,2,2,2,2,2,1,1,1,0,1,2,2,2,-2,2,2,1,0,2,2,2,1,0,2,2
Is the manager of this role a micromanager?,How involved is the reporting manager with this role?,"The manager of this role is a manager of the team, or is there a role",Is the manager of this role a micromanager?,Is there a manager for this role?,Is this a role that you are responsible for?,2,0,2,2,2,1,1,0,1,1,2,1,-2,1,2,2,0,2,0,1,2,1,2,1,0
Didn't understand you.,"I didn't quite catch that, could you clarify what were you asking about?","I'm sorry, but I'm not able to understand.",I'm not sure I understand your question.,"Sorry, I didn't get it.",I'm not sure I understand what you are trying to communicate.,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2
She works for me.,She is from my team.,I'm happy to help.,I am happy to share my responsibilities with her.,I am happy to share my experience with you.,I'm happy to help.,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,0,2,0,0,1,0,1,0,0
Who died and made you the meeting czar?,Distributing the responsibility of leading meetings can foster a sense of team ownership and involvement.,,I'm not sure why you're the meeting czar.,"I'm assuming that you are a part of the team, but I'm",The meeting czar is responsible for coordinating the agenda and coordinating the activities of the,2,0,2,0,1,1,0,0,1,0,2,-2,-2,0,-1,2,0,2,0,1,2,0,2,0,2
"I'm not a mind reader, how was I supposed to know that?",This was not communicated to me prior to this.,"I'm not a good at it, so I'm not able to.","I'm not a good listener, so I'm not sure I'm","I'm not a mind reader, so I'm not able to help you",I'm not able to do that.,2,2,0,2,2,1,0,0,0,1,2,-1,-1,-2,1,2,0,0,2,0,2,0,0,2,0
If only I wanted...,If only it worked.,I'd love to know if there's anything else I can do to help.,I'm not sure I'm interested in that.,I wish I could have done it sooner.,I'm not sure I'm the right person for that.,2,2,2,2,2,1,1,1,1,1,2,2,0,2,2,2,0,2,1,2,1,0,2,0,0
I think that's a bad idea.,Maybe we should re think this together.,I think it's a good idea to consider a more detailed approach.,I don't think that's a good idea.,I think that's a bad idea.,I'm not sure I'm a good fit for this.,2,2,2,2,2,1,1,0,0,1,2,2,-1,-2,2,2,1,2,2,0,1,1,2,2,0
How many times do I have to follow up with you before I'll get a resoponse?,Reaching our to get a better understanding of when I can expect a response from you on this matter.,I'm not able to get a response from you.,I'm not sure I'll get a response from you.,I'm unable to get a response from you right now.,I'm not sure I'm the right person for that.,2,2,2,2,2,1,0,0,0,1,2,-2,-2,-2,2,2,2,2,2,0,2,2,2,2,0
Stop disrespecting me!,Our effectiveness would benefit from a greater level of respect and professionalism than what I currently feel is being displayed.,Respecting myself is important for everyone's success.,I appreciate your understanding.,Respecting each other's time and respecting each other's needs is important for everyone,I'm not sure I'm the right person for that.,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,0,0,2,0,2,0,0,2,0
I need it by next week but I don't trust you to finish it on time.,We need it no later than the end of this week.,I'm hoping to have it completed by the end of the week.,I'm not sure I can make it to this deadline.,I need it completed by the end of the week.,I'm not sure I'll be able to meet that deadline.,2,2,2,2,2,1,1,1,1,1,2,2,1,0,1,2,2,0,2,0,2,2,0,2,0
There's no need for the constant negativity.,Promoting a positive outlook can greatly enhance our work environment and productivity.,"While it's important to be positive, let's also be respectful of others' opinions",Maintaining a positive and constructive attitude is key to achieving our goals.,Maintaining a positive attitude towards work and others is important for team morale.,Keeping positive and constructive feedback can help foster a more positive work environment.,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,0,2,2,2
