,percentage_of_agreement,cohen_kappa_score,krippendorff_score_ordinal,dist,dist_normalized,dist_normalized_var,dist_normalized_std,mean,mean_std
Fluency_target,1.0,1.0,1.0,0.0,,,,2.0,0.0
Fluency_t5detox,0.921875,0.6734693877551021,0.8062872023809524,0.09375,0.046875,0.029513888888888888,0.1717960677340692,1.796875,0.524924408768191
Fluency_t5formal,0.9375,0.5740432612312811,0.5992940082644627,0.078125,0.0390625,0.026227678571428572,0.16194961738586655,1.8671875,0.44758778069622435
Fluency_t5large,0.890625,0.6216216216216216,0.7360204318796484,0.125,0.0625,0.03571428571428571,0.1889822365046136,1.765625,0.5342904358504557
Fluency_flanlarge,0.921875,0.4693200663349917,0.5688912849494348,0.109375,0.0546875,0.04061259920634921,0.20152567877654998,1.8828125,0.37524793391138334
Corpy_level_target,0.9375,0.30810810810810807,0.30051659891598903,0.09375,0.052083333333333336,0.03957231040564373,0.19892790253165527,1.9375,0.2439750182371333
Corpy_level_t5detox,0.546875,0.34670890531502996,0.6769561119919405,0.703125,0.17578125,0.05690414186507937,0.23854589048038402,0.7578125,1.3944111447045273
Corpy_level_t5formal,0.578125,0.42913776015857286,0.7695894136200525,0.625,0.15625,0.05257936507936508,0.2293019081459312,0.671875,1.3487759000558353
Corpy_level_t5large,0.515625,0.37155527399429833,0.6786148965949415,0.734375,0.18359375,0.060004340277777776,0.24495783367301766,0.4140625,1.4241530133927167
Corpy_level_flanlarge,0.359375,0.10504774897680769,0.2560447307192142,1.203125,0.30078125,0.08765811011904762,0.29607112341301983,0.8515625,1.0603970785916539
content_intention_target,0.953125,-0.02127659574468077,-0.016000000000000014,0.046875,0.046875,0.04538690476190476,0.21304202581158665,1.9765625,0.10652101290579333
content_intention_t5detox,0.53125,0.2592592592592593,0.3654254370017237,0.65625,0.328125,0.15252976190476192,0.39055058815057736,1.125,0.7400128699009549
content_intention_t5formal,0.640625,0.4069298952457695,0.638775371430122,0.421875,0.2109375,0.09368799603174603,0.30608494904478073,1.2734375,0.7762838188834786
content_intention_t5large,0.75,0.5492957746478873,0.6826505214917825,0.328125,0.1640625,0.09567212301587301,0.30930910593752814,1.3046875,0.8243188024637301
content_intention_flanlarge,0.765625,0.6097560975609756,0.7631350057974481,0.296875,0.1484375,0.08475942460317461,0.2911347189930713,0.9609375,0.887768235789156
essential_details_target,0.78125,0.19785138764547894,0.1969865819898733,0.265625,0.1328125,0.07335069444444445,0.2708333333333333,1.8203125,0.3492303044633377
essential_details_t5detox,0.59375,0.3922571219868517,0.6319244589694811,0.453125,0.2265625,0.08674355158730158,0.29452258247425034,1.0390625,0.7832810899498442
essential_details_t5formal,0.640625,0.43945163747143945,0.6180983842832007,0.421875,0.2109375,0.09368799603174603,0.30608494904478073,1.1953125,0.7695452558450677
essential_details_t5large,0.671875,0.4491803278688524,0.6257687663627336,0.40625,0.203125,0.10094246031746032,0.31771443202577426,1.3125,0.7740842003337551
essential_details_flanlarge,0.71875,0.558282208588957,0.7807667180380595,0.3125,0.15625,0.07043650793650794,0.26539877154295183,0.90625,0.8492527060481814
