,Bigram,Frequency
0,stop acting like,3
1,answer questions asked,2
2,questions asked just,2
3,really don want,2
4,doesn make sense,2
5,acting like know,1
6,interested hanging free,1
7,hanging free time,1
8,couldn happier decline,1
9,happier decline invite,1
10,don understand asking,1
11,stop pushover stand,1
12,gonna present work,1
13,present work credit,1
14,want accept job,1
15,accept job pay,1
16,job pay asked,1
17,sending email thousands,1
18,email thousands people,1
19,thousands people need,1
