id,source,target
335,Stop acting like you know everything.,"Your knowledge is appreciated, but let's ensure that everyone gets a chance to contribute their insights."
239,I'm not interested in hanging out with you in my free time. ,"I appreciate the invite, but I am completely booked."
104,I couldn't be happier to decline this invite. ,Darn! not able to fit it in.
111,I don't even understand what your'e asking,Could you just clarify your question for me?
341,Stop being a pushover. Stand up for yourself.,Advocating for oneself is an important skill in maintaining a balanced work environment.
225,"If you're gonna present my work, at least give me credit for it.","It has come to my attention that you have presented my work to a wider audience, and wanted to confirm that I was given proper credit for my ideas."
221,"If you want me to accept this job, pay me what I asked for.","Unfortunately, we have chosen not to move forward with your proposal at this time. Though your proposal is impressive, we are unable to fit your work into our budget. We wish you the best with your future endeavors and hope for the chance to work with each other in the future."
194,"I'm sending the same email to thousands of people, but I need you to answer me anyways","Thank you for taking the time to answer my email, your reply would be appreciated."
449,"This isn't a nightclub, kill the disco lights.",Keeping personal desk lighting at a low level ensures a comfortable environment for everyone.
569,Your coffee breath is a bit much.,Practicing good personal hygiene can create a more comfortable environment for all.
435,This is not my problem.,My recommendation is directing this issue to the it team as they have the proper expertise to best assist you.
598,Your office gossip is creating a toxic environment.,"Promoting open, respectful, and honest communication can significantly enhance team dynamics."
303,Not gonna do your job.,"Sorry, I have already committed to something else. I hope you understand."
149,"I hate you, please stop emailing me","Thanks for you remarks, I will get back to you as soon as we begin working on this topic."
141,I don't want to talk to you right now.,"Currently I am tied up with something, but I will connect you once I am free."
184,"I wanna work here, but if another year goes by without getting a raise I'm going to have to start applying elsewhere.",I'm requesting a meeting to review my compansation and better understand if my salar ywill be adjusted to reflect the market rate and my contributions to the company more accurately.
498,What you say sounds crazy.,Would you mind walking me through your thought process?
42,Don't expect me to do that.,Your expectations are undersood and I promise to do my absolute best.
73,Hire more people or this isn't going to get done.,The team is already at capacity and will require additional resources in order to get tihs completed.
609,You're always hogging the best tasks.,"Equitable distribution of tasks, including the more desirable ones, fosters a fair workplace."
66,Hahaha I'm not doing that.,"Regrettably, i'm not able to."
11,Are you still texting bitches? yes or no?,Just wanted to follow up on this.
314,Quit being so wishy-washy and make a decision.,Decisiveness can contribute greatly to our team's efficiency and productivity.
563,Your bonsai trimming hobby is leaving a mess around your desk.,Containing activities from personal hobbies within our personal space helps maintain a clean and organized environment.
224,"If your meeting has no agenda, I'm not gonna attend it.",Can you please share an agenda as to what this meeting is?
525,You are not my boss.,"I can look at prioritising this behind my assigned responsibilities, though I will have to ensure that with my manager."
367,Stop micromanaging.,"As I am confident in my ability to complete this project, I will be sure to reach out if or when I require your input."
83,I already made plans that I'd much rather go to instead of this. ,"Oh, I wish there were two of me!"
295,"No, I will not take his workload unless I'm taking his salary too.","I can support him when required. However, I am not able to take his workload within my current role. I would love to discuss it if a promotion becomes available."
380,Stop trying to impress everyone.,It's key to strike a balance between showcasing accomplishments and promoting a collaborative environment.
79,How was I supposed to know that if you didn't tell me?,"Thank you for sharing this information to me, now it all makes sense."
23,"Check your inbox, I already sent it to you.","I previously sent you an email regarding that, but please let me know if something went wrong in transit."
353,Stop dumping your work on me.,It's important for us to handle our individual responsibilities to ensure a balanced workload.
322,Read the whole email before you respond.,The previous communications contain the information you are looking for.
347,Stop bombarding me with messages.,"To ensure that information does not get missed, can you please condence your communicationsinto a single email where possible?"
426,There's no room for slackers here.,Everyone's contribution is important in achieving our collective goals and deadlines.
411,That's not my problem.,What you are describing is not somehting within my control.
196,I've not been properly trained on this.,Are there training courses available in order for me to successfully complete this?
138,I don't want to go out to get beers after work with you. ,I have a few things I need to take care of first. Can I let you know later?
578,Your daily doughnut ritual is attracting pests.,Proper disposal of food waste ensures a clean and pest-free environment.
289,Nice of you to finally get back to me.,Thank you for your response.
305,"Not today, I can't take it. ","Unfortunately, it's really not a good time."
9,Are you nuts? What were you thinking when you scheduled this for 8am? ,"A friendly reminder,  8 am is a bit uncomfortable for us, next time please consider rescheduling"
243,I'm not wasting my very little spare time on this. ,As I'm at the end of my rope right now so have to take a raincheck.
277,Let's get started with actual work instead of wasting time on talking.,Get the ball rolling.
338,Stop always playing the victim.,It's crucial that we all take responsibility for our actions and their outcomes.
600,Your passive-aggressive notes are more annoying than helpful.,Let's use direct communication to address concerns and promote a collaborative spirit.
427,There's no room for your drama here.,Maintaining a professional attitude in the workplace is crucial for maintaining a positive and productive environment.
84,I already told you this.,As indicated prior.
280,Look it seems that your objection is based on emotional need not logical,"I hear you objection and respct it. However, there may be some emotions that are mixed in your decision "
187,I will join the meeting if I'll have nothing better to do.,I will do my best to make it to that meeting.
308,Oops! I completely forgot to reply.,I apologize for the late response.
208,If you can't pay any more then what else can you offer.,"It is understood that there are budget restrictions that limit your ability to increase my salary. However, I would like to understand if additional vacation days, benefits, bonus, and other overall compensation items can be offered."
261,It's not interesting.,That is not a good match for me.
28,Did you even read my email?,Reattaching my email address to provide additional clarity.
421,The way you speak to me is disrespectful.,"You are encourged to reevaluate the way you are speaking to me, as the disrespect you are currently displaying towards me is not welcomed nor will it be tolerated."
181,"I told you this so many times, can you just write it down?",You are encourged to document and save this information so you can access it in the future when you need it.
357,Stop excluding me from meetings that I should be in.,"My involvement in these conversations is necessary, so I'm requesting that you start adding me to these meetings moving forward."
155,I have more important things to do than talk to you right now.,Your opinion is valueable and I would love to pick up this conversation at another time.
75,How long do I have to work here before you stop micromanaging all my work?,I'm curious as to when you might feel comfortable enough to allow me to work independently on this.
92,I can not possibly read your mind.,I'll need more information about the concerned matter in order to complete this. Please be as specific as possible.
336,Stop adding me to these irrelevant email chains.,"Moving forward, can we include more of a focused group on these emails to avoid cluttering up the inboxes of those who are not directly working on this?"
68,Hahahahaha no I'm not working on saturdays.,"No thank you, I have other plans for the weekend."
299,Nobody wants to see your vacation photos.,"While sharing personal experiences can be enjoyable, maintaining focus on tasks during office hours is crucial."
467,Try again.,Let's give it another go. 
226,"I'll pass, his new role sounds like a pain in the ass, how does that count as promotion?","I'm flattered you considered me, but unfortunately I'll have to pass this time."
15,Can you answer all of the questions I asked and not just pick and choose one?,Are you able to provide some clarity around the other questions previously asked?
561,Your 'al fresco' lunches are attracting seagulls.,Choosing appropriate locations for meals can prevent attracting wildlife.
193,"I'm not wrong. You said what you said, stop backtracking.","Correct me if i'm wrong, but I recall that you said something else previously."
88,I am overworked. ,I'm really maxed out.
536,"You didn't give me clear instructions, how was I supposed to know that?",I did my best with the information I was provided.
121,I don't get it.,Am I correct in understanding that.
436,This is not remotely interesting enough for me to even concider taking it on. ,"I'm really buckling down on my priorities right now, so I can't."
590,Your lack of punctuality is disrespectful.,Adhering to agreed timelines shows respect for others' time and helps maintain efficiency.
33,Do the fucking task.,Did you get a chance to look at the the task we talked about?
0,Answer me already.,Circling back on the below conversation.
607,Your snacking sounds like a wild animal feeding.,Maintaining decorum while eating can contribute to a more pleasant shared space.
267,Just a heads up.,Be advised.
633,You're trying to rip us off.,We're looking for a better price.
377,Stop texting my personal phone about work.,Please direct all work related inquiries to my email so communications are kept in one place.
551,You never volunteer for anything. It's always me.,It would be great if we could share the responsibilities of voluntary tasks more evenly.
512,Why have you not approved my time off yet?,"Just wanted to confirm that you have received my time off request, and understand if there is anything further you require on my end for this to be reviewed."
22,Can you treat me like a human? your'e so disrespectful.,"Your frustration with the situation is well understood, and I'll be happy to continue this conversation if you're able to do so in a respectful manner."
504,Why are you late again?,Thank you for joining us.
112,I don't fucking understand what you want from me.,I'm not confident that I have the full perspective here. 
89,I am really unmotivated these days.,"I'm really spread thin these days, I just can't take it on right now."
185,I want a higher salary than you are offering me.,I was hoping to be in the 180k to 220k salary range for this position.
258,It's no urgent just because you want it to be.,"The fact that this is of priority for you was understoof, and I will get to it when I am able to, as I'm currently working on more pressing items."
268,Just because you're on a diet doesn't mean we all want to hear about it.,"While personal achievements are commendable, limiting such discussions can help us maintain professional focus."
18,Can you hurry up?,Any updates on this?
262,It's not my fault you procrectinated on this.,"I understand the urgency on this with the deadline approaching. However, I am not able to reschedule my entire week to prioritize this last minute."
365,"Stop leaving your wet umbrella by the entrance, someone could slip.",Storing personal items in designated areas can prevent potential safety hazards.
145,I had to redo your entire work because it was wrong.,I had to make some revisions to your work as I came across some errors when reviewing what you have shared.
476,We have a good improvement,We were able to achieve significant uplift in performance
543,"You know this already, and denying that will now make you look stupid.","As no doubt you are aware of our process, as you've been to our last meeting."
631,You're such a show-off.,"While it's important to showcase one's accomplishments, let's ensure we're also highlighting team achievements."
519,"Yeah, I don't give a single shit about that. ",That's not something I pay a lot of attention to.
