idx,text,label
0,Stop acting like you know everything.,0
1,I'm not interested in hanging out with you in my free time.,0
2,I couldn't be happier to decline this invite.,0
3,I don't even understand what your'e asking,0
4,Stop being a pushover. Stand up for yourself.,0
5,"If you're gonna present my work, at least give me credit for it.",0
6,"If you want me to accept this job, pay me what I asked for.",0
7,"I'm sending the same email to thousands of people, but I need you to answer me anyways",0
8,"This isn't a nightclub, kill the disco lights.",0
9,Your coffee breath is a bit much.,0
10,This is not my problem.,0
11,Your office gossip is creating a toxic environment.,0
12,Not gonna do your job.,0
13,"I hate you, please stop emailing me",0
14,I don't want to talk to you right now.,0
15,"I wanna work here, but if another year goes by without getting a raise I'm going to have to start applying elsewhere.",0
16,What you say sounds crazy.,0
17,Don't expect me to do that.,0
18,Hire more people or this isn't going to get done.,0
19,You're always hogging the best tasks.,0
20,Hahaha I'm not doing that.,0
21,Are you still texting bitches? yes or no?,0
22,Quit being so wishy-washy and make a decision.,0
23,Your bonsai trimming hobby is leaving a mess around your desk.,0
24,"If your meeting has no agenda, I'm not gonna attend it.",0
25,You are not my boss.,0
26,Stop micromanaging.,0
27,I already made plans that I'd much rather go to instead of this.,0
28,"No, I will not take his workload unless I'm taking his salary too.",0
29,Stop trying to impress everyone.,0
30,How was I supposed to know that if you didn't tell me?,0
31,"Check your inbox, I already sent it to you.",0
32,Stop dumping your work on me.,0
33,Read the whole email before you respond.,0
34,Stop bombarding me with messages.,0
35,There's no room for slackers here.,0
36,That's not my problem.,0
37,I've not been properly trained on this.,0
38,I don't want to go out to get beers after work with you.,0
39,Your daily doughnut ritual is attracting pests.,0
40,Nice of you to finally get back to me.,0
41,"Not today, I can't take it. ",0
42,Are you nuts? What were you thinking when you scheduled this for 8am?,0
43,I'm not wasting my very little spare time on this.,0
44,Let's get started with actual work instead of wasting time on talking.,0
45,Stop always playing the victim.,0
46,Your passive-aggressive notes are more annoying than helpful.,0
47,There's no room for your drama here.,0
48,I already told you this.,0
49,Look it seems that your objection is based on emotional need not logical,0
50,I will join the meeting if I'll have nothing better to do.,0
51,Oops! I completely forgot to reply.,0
52,If you can't pay any more then what else can you offer.,0
53,It's not interesting.,0
54,Did you even read my email?,0
55,The way you speak to me is disrespectful.,0
56,"I told you this so many times, can you just write it down?",0
57,Stop excluding me from meetings that I should be in.,0
58,I have more important things to do than talk to you right now.,0
59,How long do I have to work here before you stop micromanaging all my work?,0
60,I can not possibly read your mind.,0
61,Stop adding me to these irrelevant email chains.,0
62,Hahahahaha no I'm not working on saturdays.,0
63,Nobody wants to see your vacation photos.,0
64,Try again.,0
65,"I'll pass, his new role sounds like a pain in the ass, how does that count as promotion?",0
66,Can you answer all of the questions I asked and not just pick and choose one?,0
67,Your 'al fresco' lunches are attracting seagulls.,0
68,"I'm not wrong. You said what you said, stop backtracking.",0
69,I am overworked.,0
70,"You didn't give me clear instructions, how was I supposed to know that?",0
71,I don't get it.,0
72,This is not remotely interesting enough for me to even concider taking it on.,0
73,Your lack of punctuality is disrespectful.,0
74,Do the fucking task.,0
75,Answer me already.,0
76,Your snacking sounds like a wild animal feeding.,0
77,Just a heads up.,0
78,You're trying to rip us off.,0
79,Stop texting my personal phone about work.,0
