,corp,regular_1
0,Are we confident that this is the best solution or are we still exploring alternatives?.,That sounds like a horrible idea.
1,"As per my prediction, this outcome does not come as a surprise.",I told you so.
2,Ask me in a month.,I don't have the time.
3,"Bandwidth is low, so i won't be able to make it work.",I don't have the time.
4,Being mindful of timelines. let?s concentrate on the initial scope.,You are overcomplicating this.
5,Circle back to me in a few weeks.,I don't have the time.
6,"I appreciate the invitation, but i am completely booked.",No.
7,"I appreciate the offer, but i can't.",No.
8,I have a few things i need to take care of first. can i let you know later?.,I don't have the time.
9,I wish i could make it work.,No.
10,I wish i were able to.,No.
11,"I'd love to, but i can't.",No.
12,I'd rather not.,No.
13,I'm afraid i can't.,No.
14,"I'm honored, but can't.",No.
15,"I'm just swamped right now, so i can't.",I don't have the time.
16,I'm not able to make it this week/month/year.,I don't have the time.
17,I'm not taking on anything else right now.,I don't have the time.
18,"I'm really buckling down on my priorities right now, so i can't.",I don't have the time.
19,I'm really maxed out.,I don't have the time.
20,"I'm really spread thin these days, i just can't take it on right now.",I don't have the time.
21,I'm unable to add value to this meeting but i would be happy to review the minutes.,That meeting sounds like a waste of my time.
22,I've got too much on my plate right now.,I don't have the time.
23,If only i could!.,No.
24,It?s not feasible for me to take this on.,I don't have the time.
25,Let me think about it and i'll get back to you.,I don't have the time.
26,"No thank you, but it sounds lovely.",No.
27,"No thanks, i won't be able to make it.",No.
28,Perhaps next season when things clear up.,I don't have the time.
29,"Regrettably, i'm not able to.",No.
30,"Thanks for the offer, but i can't.",No.
31,"Thanks for thinking of me, but i can't.",No.
32,"Thanks, but maybe another time.",No.
33,"You're so kind to think of me, but i can't.",No.
